11/07 	 8:12:19AM	 (********) 	T3  	STEVE64  	SLS 36: 	Login: steve
11/07 	10:09:05AM	 (********) 	T3  	STEVE64  	SLS 41: 	Login: steve
11/07 	10:29:22AM	 (********) 	T3  	STEVE64  	SLS 58: 	Login: steve
11/07 	10:34:06AM	 (********) 	T3  	STEVE64  	SLS 42: 	Login: steve
11/07 	10:55:30AM	 (********) 	T3  	STEVE64  	SLS 04: 	Login: steve
11/07 	11:11:38AM	 (********) 	T3  	STEVE64  	SLS 93: 	Login: steve
11/07 	12:59:18PM	 (********) 	T3  	STEVE64  	SLS 53: 	Login: steve
11/07 	 1:47:47PM	 (********) 	T3  	STEVE64  	SLS 63: 	Login: steve
11/07 	 1:53:15PM	 (********) 	T3  	STEVE64  	SLS 91: 	Login: steve
11/07 	 2:13:18PM	 (********) 	T3  	STEVE64  	SLS 93: 	Login: steve
11/07 	 2:38:56PM	 (********) 	T3  	STEVE64  	SLS 33: 	Login: steve
11/07 	 2:47:16PM	 (********) 	T3  	STEVE64  	SLS 32: 	Login: steve
11/07 	 6:10:13PM	 (********) 	T3  	STEVE64  	SLS 10: 	Login: steve
11/08 	 9:55:43AM	 (********) 	T3  	STEVE64  	SLS 39: 	Login: steve
11/08 	10:16:55AM	 (********) 	T3  	STEVE64  	SLS 00: 	Login: steve
11/08 	10:57:50AM	 (********) 	T3  	STEVE64  	SLS 66: 	Login: steve
11/08 	11:08:30AM	 (********) 	T3  	STEVE64  	SLS 06: 	Login: steve
11/08 	 1:53:11PM	 (********) 	T3  	STEVE64  	SLS 87: 	Login: steve
11/08 	 2:02:02PM	 (********) 	T3  	STEVE64  	SLS 18: 	Login: steve
11/08 	 5:13:23PM	 (********) 	T3  	STEVE64  	SLS 95: 	Login: steve
11/08 	 6:17:19PM	 (********) 	T3  	STEVE64  	SLS 33: 	Login: steve
11/09 	 8:26:04AM	 (********) 	T3  	STEVE64  	SLS 60: 	Login: steve
11/09 	10:27:00AM	 (********) 	T3  	STEVE64  	SLS 16: 	Login: steve
11/09 	11:34:30AM	 (********) 	T3  	STEVE64  	SLS 43: 	Login: steve
11/09 	12:17:20PM	 (********) 	T3  	STEVE64  	SLS 36: 	Login: steve
11/09 	 1:50:24PM	 (********) 	T3  	STEVE64  	SLS 19: 	Login: steve
11/09 	 1:53:20PM	 (********) 	T3  	STEVE64  	SLS 96: 	Login: steve
11/09 	 2:57:33PM	 (********) 	T3  	STEVE64  	SLS 49: 	Login: steve
11/09 	 3:55:21PM	 (********) 	T3  	STEVE64  	SLS 17: 	Login: steve
11/19 	12:15:38PM	 (********) 	T3  	STEVE64  	SLS 33: 	Login: steve
11/19 	 1:45:10PM	 (********) 	T3  	STEVE64  	SLS 06: 	Login: steve
11/20 	 8:18:36AM	 (********) 	T3  	STEVE64  	SLS 11: 	Login: steve
11/20 	 8:23:00AM	 (********) 	T3  	STEVE64  	SLS 76: 	Login: steve
11/20 	10:00:23AM	 (********) 	T3  	STEVE64  	SLS 17: 	Login: steve
11/20 	 2:24:28PM	 (********) 	T3  	STEVE64  	SLS 64: 	Login: steve
11/20 	 3:58:40PM	 (********) 	T3  	STEVE64  	SLS 16: 	Login: steve
11/27 	 9:44:39AM	 (********) 	T3  	STEVE64  	SLS 74: 	Login: steve
11/27 	 9:44:58AM	 (********) 	T3  	STEVE64  	SLS 94: 	Login: steve
11/27 	12:51:10PM	 (********) 	T3  	STEVE64  	SLS 65: 	Login: steve
11/27 	12:54:19PM	 (********) 	T3  	STEVE64  	SLS 55: 	Login: steve
11/27 	 1:58:52PM	 (********) 	T3  	STEVE64  	SLS 28: 	Login: steve
11/27 	 2:52:12PM	 (********) 	T3  	STEVE64  	SLS 28: 	Login: steve
11/28 	 8:11:25AM	 (********) 	T3  	STEVE64  	SLS 80: 	Login: steve
11/30 	 8:34:02AM	 (********) 	T3  	STEVE64  	SLS 37: 	Login: steve
12/05 	12:19:05PM	 (********) 	T3  	STEVE64  	SLS 41: 	Login: steve
